020101, 1, Bolesławiec
020102, 2, Bolesławiec
020103, 2, Gromadka
020104, 3, Nowogrodziec
020104, 4, Nowogrodziec miasto
020104, 5, Nowogrodziec obszar wiejski
020105, 2, Osiecznica
020106, 2, Warta Bolesławiecka
020201, 1, Bielawa
020202, 1, Dzierżoniów
020203, 1, Pieszyce
020204, 1, Piława Górna
020205, 2, Dzierżoniów
020206, 2, Łagiewniki
020207, 3, Niemcza
020207, 4, Niemcza miasto
020207, 5, Niemcza obszar wiejski
020301, 1, Głogów
020302, 2, Głogów
020303, 2, Jerzmanowa
020304, 2, Kotla
020305, 2, Pęcław
020306, 2, Żukowice
020401, 3, Góra
020401, 4, Góra miasto
020401, 5, Góra obszar wiejski
020402, 2, Jemielno
020403, 2, Niechlów
020404, 3, Wąsosz
020404, 4, Wąsosz miasto
020404, 5, Wąsosz obszar wiejski
020501, 1, Jawor
020502, 3, Bolków
020502, 4, Bolków miasto
020502, 5, Bolków obszar wiejski
020503, 2, Męcinka
020504, 2, Mściwojów
020505, 2, Paszowice
020506, 2, Wądroże Wielkie
020601, 1, Karpacz
020602, 1, Kowary
020603, 1, Piechowice
020604, 1, Szklarska Poręba
020605, 2, Janowice Wielkie
020606, 2, Jeżów Sudecki
020607, 2, Mysłakowice
020608, 2, Podgórzyn
020609, 2, Stara Kamienica
020701, 1, Kamienna Góra
020702, 2, Kamienna Góra
020703, 3, Lubawka
020703, 4, Lubawka miasto
020703, 5, Lubawka obszar wiejski
020704, 2, Marciszów
020801, 1, Duszniki-Zdrój
020802, 1, Kłodzko
020803, 1, Kudowa-Zdrój
020804, 1, Nowa Ruda
020805, 1, Polanica-Zdrój
020806, 3, Bystrzyca Kłodzka
020806, 4, Bystrzyca Kłodzka miasto
020806, 5, Bystrzyca Kłodzka obszar wiejski
020807, 2, Kłodzko
020808, 3, Lądek-Zdrój
020808, 4, Lądek-Zdrój miasto
020808, 5, Lądek-Zdrój obszar wiejski
020809, 2, Lewin Kłodzki
020810, 3, Międzylesie
020810, 4, Międzylesie miasto
020810, 5, Międzylesie obszar wiejski
020811, 2, Nowa Ruda
020812, 3, Radków
020812, 4, Radków miasto
020812, 5, Radków obszar wiejski
020813, 3, Stronie Śląskie
020813, 4, Stronie Śląskie miasto
020813, 5, Stronie Śląskie obszar wiejski
020814, 3, Szczytna
020814, 4, Szczytna miasto
020814, 5, Szczytna obszar wiejski
020901, 1, Chojnów
020902, 2, Chojnów
020903, 2, Krotoszyce
020904, 2, Kunice
020905, 2, Legnickie Pole
020906, 2, Miłkowice
020907, 3, Prochowice
020907, 4, Prochowice miasto
020907, 5, Prochowice obszar wiejski
020908, 2, Ruja
021001, 1, Lubań
021002, 1, Świeradów-Zdrój
021003, 3, Leśna
021003, 4, Leśna miasto
021003, 5, Leśna obszar wiejski
021004, 2, Lubań
021005, 2, Olszyna
021006, 2, Platerówka
021007, 2, Siekierczyn
021101, 1, Lubin
021102, 2, Lubin
021103, 2, Rudna
021104, 3, Ścinawa
021104, 4, Ścinawa miasto
021104, 5, Ścinawa obszar wiejski
021201, 3, Gryfów Śląski
021201, 4, Gryfów Śląski miasto
021201, 5, Gryfów Śląski obszar wiejski
021202, 3, Lubomierz
021202, 4, Lubomierz miasto
021202, 5, Lubomierz obszar wiejski
021203, 3, Lwówek Śląski
021203, 4, Lwówek Śląski miasto
021203, 5, Lwówek Śląski obszar wiejski
021204, 3, Mirsk
021204, 4, Mirsk miasto
021204, 5, Mirsk obszar wiejski
021205, 3, Wleń
021205, 4, Wleń miasto
021205, 5, Wleń obszar wiejski
021301, 2, Cieszków
021302, 2, Krośnice
021303, 3, Milicz
021303, 4, Milicz miasto
021303, 5, Milicz obszar wiejski
021401, 1, Oleśnica
021402, 3, Bierutów
021402, 4, Bierutów miasto
021402, 5, Bierutów obszar wiejski
021403, 2, Dobroszyce
021404, 2, Dziadowa Kłoda
021405, 3, Międzybórz
021405, 4, Międzybórz miasto
021405, 5, Międzybórz obszar wiejski
021406, 2, Oleśnica
021407, 3, Syców
021407, 4, Syców miasto
021407, 5, Syców obszar wiejski
021408, 3, Twardogóra
021408, 4, Twardogóra miasto
021408, 5, Twardogóra obszar wiejski
021501, 1, Oława
021502, 2, Domaniów
021503, 3, Jelcz-Laskowice
021503, 4, Jelcz-Laskowice miasto
021503, 5, Jelcz-Laskowice obszar wiejski
021504, 2, Oława
021601, 3, Chocianów
021601, 4, Chocianów miasto
021601, 5, Chocianów obszar wiejski
021602, 2, Gaworzyce
021603, 2, Grębocice
021604, 3, Polkowice
021604, 4, Polkowice miasto
021604, 5, Polkowice obszar wiejski
021605, 3, Przemków
021605, 4, Przemków miasto
021605, 5, Przemków obszar wiejski
021606, 2, Radwanice
021701, 2, Borów
021702, 2, Kondratowice
021703, 2, Przeworno
021704, 3, Strzelin
021704, 4, Strzelin miasto
021704, 5, Strzelin obszar wiejski
021705, 3, Wiązów
021705, 4, Wiązów miasto
021705, 5, Wiązów obszar wiejski
021801, 2, Kostomłoty
021802, 2, Malczyce
021803, 2, Miękinia
021804, 3, Środa Śląska
021804, 4, Środa Śląska miasto
021804, 5, Środa Śląska obszar wiejski
021805, 2, Udanin
021901, 1, Świdnica
021902, 1, Świebodzice
021903, 2, Dobromierz
021904, 3, Jaworzyna Śląska
021904, 4, Jaworzyna Śląska miasto
021904, 5, Jaworzyna Śląska obszar wiejski
021905, 2, Marcinowice
021906, 3, Strzegom
021906, 4, Strzegom miasto
021906, 5, Strzegom obszar wiejski
021907, 2, Świdnica
021908, 3, Żarów
021908, 4, Żarów miasto
021908, 5, Żarów obszar wiejski
022001, 3, Oborniki Śląskie
022001, 4, Oborniki Śląskie miasto
022001, 5, Oborniki Śląskie obszar wiejski
022002, 3, Prusice
022002, 4, Prusice miasto
022002, 5, Prusice obszar wiejski
022003, 3, Trzebnica
022003, 4, Trzebnica miasto
022003, 5, Trzebnica obszar wiejski
022004, 2, Wisznia Mała
022005, 2, Zawonia
022006, 3, Żmigród
022006, 4, Żmigród miasto
022006, 5, Żmigród obszar wiejski
022101, 1, Boguszów-Gorce
022102, 1, Jedlina-Zdrój
022103, 1, Szczawno-Zdrój
022109, 1, Wałbrzych
022104, 2, Czarny Bór
022105, 3, Głuszyca
022105, 4, Głuszyca miasto
022105, 5, Głuszyca obszar wiejski
022106, 3, Mieroszów
022106, 4, Mieroszów miasto
022106, 5, Mieroszów obszar wiejski
022107, 2, Stare Bogaczowice
022108, 2, Walim
022201, 3, Brzeg Dolny
022201, 4, Brzeg Dolny miasto
022201, 5, Brzeg Dolny obszar wiejski
022202, 2, Wińsko
022203, 3, Wołów
022203, 4, Wołów miasto
022203, 5, Wołów obszar wiejski
022301, 2, Czernica
022302, 2, Długołęka
022303, 2, Jordanów Śląski
022304, 3, Kąty Wrocławskie
022304, 4, Kąty Wrocławskie miasto
022304, 5, Kąty Wrocławskie obszar wiejski
022305, 2, Kobierzyce
022306, 2, Mietków
022307, 3, Sobótka
022307, 4, Sobótka miasto
022307, 5, Sobótka obszar wiejski
022308, 3, Święta Katarzyna
022308, 4, Siechnice miasto
022308, 5, Święta Katarzyna obszar wiejski
022309, 2, Żórawina
022401, 3, Bardo
022401, 4, Bardo miasto
022401, 5, Bardo obszar wiejski
022402, 2, Ciepłowody
022403, 2, Kamieniec Ząbkowicki
022404, 2, Stoszowice
022405, 3, Ząbkowice Śląskie
022405, 4, Ząbkowice Śląskie miasto
022405, 5, Ząbkowice Śląskie obszar wiejski
022406, 3, Ziębice
022406, 4, Ziębice miasto
022406, 5, Ziębice obszar wiejski
022407, 3, Złoty Stok
022407, 4, Złoty Stok miasto
022407, 5, Złoty Stok obszar wiejski
022501, 1, Zawidów
022502, 1, Zgorzelec
022503, 3, Bogatynia
022503, 4, Bogatynia miasto
022503, 5, Bogatynia obszar wiejski
022504, 3, Pieńsk
022504, 4, Pieńsk miasto
022504, 5, Pieńsk obszar wiejski
022505, 2, Sulików
022506, 3, Węgliniec
022506, 4, Węgliniec miasto
022506, 5, Węgliniec obszar wiejski
022507, 2, Zgorzelec
022601, 1, Wojcieszów
022602, 1, Złotoryja
022603, 2, Pielgrzymka
022604, 3, Świerzawa
022604, 4, Świerzawa miasto
022604, 5, Świerzawa obszar wiejski
022605, 2, Zagrodno
022606, 2, Złotoryja
026101, 1, M. Jelenia Góra 
026201, 1, M. Legnica 
026401, 1, M. Wrocław 
026402, 9, Wrocław-Fabryczna 
026403, 9, Wrocław-Krzyki  
026404, 9, Wrocław-Psie Pole 
026405, 9, Wrocław-Stare Miasto  
026406, 9, Wrocław-Śródmieście
040101, 1, Aleksandrów Kujawski  
040102, 1, Ciechocinek
040103, 1, Nieszawa 
