"","komitet","procent"
"1","Liczba wyborców",288
"2","Liczba kart oddanych",164
"3","Liczba głosów ważnych",110
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.73
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",52.73
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.18
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",10
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.91
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.91
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.73
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.91
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.91
"16","KOMITET WYBORCZY LEWICA",1.82
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.55
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.91
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",2.73
