"","komitet","procent"
"1","Liczba wyborców",1550
"2","Liczba kart oddanych",884
"3","Liczba głosów ważnych",797
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.67
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",8.16
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.63
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",35.88
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.99
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.25
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.39
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.25
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.25
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.38
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.13
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"16","KOMITET WYBORCZY LEWICA",0.13
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.13
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.38
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.51
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.51
