"","komitet","procent"
"1","Liczba wyborców",1771
"2","Liczba kart oddanych",879
"3","Liczba głosów ważnych",822
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",30.9
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.28
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.08
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.27
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.73
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.12
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.61
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.92
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.49
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.31
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.73
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.07
