"","komitet","procent"
"1","Liczba wyborców",205
"2","Liczba kart oddanych",154
"3","Liczba głosów ważnych",56
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.86
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",58.93
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",3.57
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.57
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",8.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.79
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",3.57
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.79
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
