"","komitet","procent"
"1","Liczba wyborców",620
"2","Liczba kart oddanych",414
"3","Liczba głosów ważnych",293
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.7
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",45.73
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.05
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",4.78
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.06
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.37
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",5.46
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.34
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.68
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.34
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.75
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.37
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.02
