"","komitet","procent"
"1","Liczba wyborców",947
"2","Liczba kart oddanych",472
"3","Liczba głosów ważnych",409
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.67
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",10.27
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.99
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.78
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.24
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.24
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.49
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.98
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.24
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.96
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.24
"16","KOMITET WYBORCZY LEWICA",2.2
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.71
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.24
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.73
