"","komitet","procent"
"1","Liczba wyborców",429
"2","Liczba kart oddanych",201
"3","Liczba głosów ważnych",166
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.47
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",57.83
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.23
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",11.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.2
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.6
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.6
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.2
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.6
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.81
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
