"","komitet","procent"
"1","Liczba wyborców",795
"2","Liczba kart oddanych",342
"3","Liczba głosów ważnych",296
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",28.38
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",17.57
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.69
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.97
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.68
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.34
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.01
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.34
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.68
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.34
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.68
