"","komitet","procent"
"1","Liczba wyborców",1227
"2","Liczba kart oddanych",699
"3","Liczba głosów ważnych",670
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.9
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.09
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.04
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",51.19
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.09
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.15
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.45
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",9.55
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.15
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.09
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.15
