"","komitet","procent"
"1","Liczba wyborców",1974
"2","Liczba kart oddanych",867
"3","Liczba głosów ważnych",841
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.56
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.5
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",59.93
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.63
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.36
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.19
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.99
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.83
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.88
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.59
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.12
