"","komitet","procent"
"1","Liczba wyborców",1291
"2","Liczba kart oddanych",601
"3","Liczba głosów ważnych",535
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.84
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",57.76
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.75
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.66
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.82
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.75
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.37
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.31
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.56
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.12
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.75
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.31
