"","komitet","procent"
"1","Liczba wyborców",1257
"2","Liczba kart oddanych",569
"3","Liczba głosów ważnych",497
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.3
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",28.37
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.2
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.13
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.71
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.21
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.4
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.8
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.2
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.21
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.4
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.03
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.6
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.62
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.81
