"","komitet","procent"
"1","Liczba wyborców",1515
"2","Liczba kart oddanych",658
"3","Liczba głosów ważnych",624
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.78
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.61
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.02
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.73
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.4
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.32
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.64
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.29
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.8
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.44
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.16
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.32
