"","komitet","procent"
"1","Liczba wyborców",1540
"2","Liczba kart oddanych",680
"3","Liczba głosów ważnych",647
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",40.19
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.16
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.62
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.99
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.62
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.93
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.31
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.62
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.09
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.24
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.24
