"","komitet","procent"
"1","Liczba wyborców",1132
"2","Liczba kart oddanych",490
"3","Liczba głosów ważnych",463
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.94
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.89
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",65.01
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.74
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.22
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.22
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.86
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.32
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.16
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
