"","komitet","procent"
"1","Liczba wyborców",1783
"2","Liczba kart oddanych",554
"3","Liczba głosów ważnych",500
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.4
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.4
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.6
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.6
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.2
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.6
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.2
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.4
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.2
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.6
