"","komitet","procent"
"1","Liczba wyborców",2061
"2","Liczba kart oddanych",916
"3","Liczba głosów ważnych",874
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",29.52
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.6
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",34.67
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.43
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.8
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.23
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.97
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.26
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.23
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.03
