"","komitet","procent"
"1","Liczba wyborców",2272
"2","Liczba kart oddanych",1286
"3","Liczba głosów ważnych",1224
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.89
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.45
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.16
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.1
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.31
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.16
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.9
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.98
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.33
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.39
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.57
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.9
