"","komitet","procent"
"1","Liczba wyborców",1711
"2","Liczba kart oddanych",774
"3","Liczba głosów ważnych",552
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",23.55
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",16.85
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.44
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.91
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.17
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.54
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.91
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.91
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.09
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",2.54
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.62
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.27
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.81
