"","komitet","procent"
"1","Liczba wyborców",2406
"2","Liczba kart oddanych",1335
"3","Liczba głosów ważnych",1083
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.45
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.93
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",18.84
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.16
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.4
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.28
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.65
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.18
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.39
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.28
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.12
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.18
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.92
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.66
