"","komitet","procent"
"1","Liczba wyborców",1923
"2","Liczba kart oddanych",1157
"3","Liczba głosów ważnych",1050
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",12.86
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.38
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.71
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.67
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.38
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.67
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.38
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.29
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.48
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.14
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"16","KOMITET WYBORCZY LEWICA",0.48
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.1
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.19
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.38
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.43
