"","komitet","procent"
"1","Liczba wyborców",2208
"2","Liczba kart oddanych",1021
"3","Liczba głosów ważnych",827
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.49
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",61.43
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.1
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.63
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.48
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.09
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.85
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.24
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.24
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.12
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.36
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.48
