"","komitet","procent"
"1","Liczba wyborców",61
"2","Liczba kart oddanych",46
"3","Liczba głosów ważnych",43
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",34.88
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.19
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.3
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",4.65
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",4.65
