"","komitet","procent"
"1","Liczba wyborców",2158
"2","Liczba kart oddanych",1065
"3","Liczba głosów ważnych",1037
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.27
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.89
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.32
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.81
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.19
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.29
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.48
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.24
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.29
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.87
