"","komitet","procent"
"1","Liczba wyborców",570
"2","Liczba kart oddanych",284
"3","Liczba głosów ważnych",240
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.58
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",18.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.42
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.67
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.83
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.83
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.67
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.42
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.92
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.83
"16","KOMITET WYBORCZY LEWICA",0.83
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.83
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.83
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.67
