"","komitet","procent"
"1","Liczba wyborców",1620
"2","Liczba kart oddanych",833
"3","Liczba głosów ważnych",738
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.38
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.71
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.08
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.87
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.49
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.9
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.68
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.68
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.37
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.68
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.81
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.41
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.95
