"","komitet","procent"
"1","Liczba wyborców",1605
"2","Liczba kart oddanych",760
"3","Liczba głosów ważnych",730
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.03
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.47
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.27
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",49.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.38
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.27
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.41
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.56
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.27
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.1
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.27
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.1
