"","komitet","procent"
"1","Liczba wyborców",1641
"2","Liczba kart oddanych",825
"3","Liczba głosów ważnych",719
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.66
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.75
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.32
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.97
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.56
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.14
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.15
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.56
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.97
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.56
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.95
