"","komitet","procent"
"1","Liczba wyborców",1291
"2","Liczba kart oddanych",681
"3","Liczba głosów ważnych",545
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.46
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",14.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.83
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.54
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",53.39
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.55
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.94
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.37
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.37
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.28
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.37
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.73
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.83
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.1
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.92
