"","komitet","procent"
"1","Liczba wyborców",1961
"2","Liczba kart oddanych",1205
"3","Liczba głosów ważnych",1170
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.44
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.34
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.1
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.95
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.45
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.43
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.51
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.73
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.17
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.43
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.85
