"","komitet","procent"
"1","Liczba wyborców",2123
"2","Liczba kart oddanych",1015
"3","Liczba głosów ważnych",993
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.51
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.2
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",60.52
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",8.96
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.31
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.2
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.7
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.14
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.71
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.2
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.7
