"","komitet","procent"
"1","Liczba wyborców",1999
"2","Liczba kart oddanych",993
"3","Liczba głosów ważnych",942
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.95
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.59
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.42
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.62
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.36
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.53
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.64
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.76
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.21
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.64
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.42
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.85
