"","komitet","procent"
"1","Liczba wyborców",1581
"2","Liczba kart oddanych",708
"3","Liczba głosów ważnych",639
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",7.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.47
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",49.92
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.25
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.31
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.94
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.47
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.31
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.16
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.72
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.31
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.23
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.1
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.72
