"","komitet","procent"
"1","Liczba wyborców",1973
"2","Liczba kart oddanych",1183
"3","Liczba głosów ważnych",915
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.93
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",17.7
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.66
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.16
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.78
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.55
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.87
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.09
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.22
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.53
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.11
"16","KOMITET WYBORCZY LEWICA",0.33
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.31
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.22
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",6.01
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.66
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0.77
