"","komitet","procent"
"1","Liczba wyborców",1186
"2","Liczba kart oddanych",635
"3","Liczba głosów ważnych",561
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.81
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.28
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.13
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.92
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.25
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.99
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.43
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.36
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.71
