"","komitet","procent"
"1","Liczba wyborców",430
"2","Liczba kart oddanych",349
"3","Liczba głosów ważnych",NA
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.63
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",42.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.86
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",13.18
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.32
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.43
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.15
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.43
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.72
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.86
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.01
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.15
