"","komitet","procent"
"1","Liczba wyborców",901
"2","Liczba kart oddanych",467
"3","Liczba głosów ważnych",374
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.57
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",40.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.8
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",17.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.98
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.53
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.53
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.53
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.07
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.8
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.34
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.53
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.07
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.41
