"","komitet","procent"
"1","Liczba wyborców",1146
"2","Liczba kart oddanych",654
"3","Liczba głosów ważnych",596
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.19
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.46
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",37.08
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.5
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.17
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.67
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.52
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.34
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.51
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.5
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.01
