"","komitet","procent"
"1","Liczba wyborców",1542
"2","Liczba kart oddanych",602
"3","Liczba głosów ważnych",568
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.2
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.46
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.84
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.94
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.7
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.35
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.7
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.93
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.35
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.7
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.7
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.11
