"","komitet","procent"
"1","Liczba wyborców",2113
"2","Liczba kart oddanych",847
"3","Liczba głosów ważnych",803
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.56
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.49
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.5
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.53
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.75
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.37
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.5
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.62
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.5
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.49
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.87
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.49
