"","komitet","procent"
"1","Liczba wyborców",2209
"2","Liczba kart oddanych",1167
"3","Liczba głosów ważnych",1119
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.5
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.71
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.24
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.78
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.98
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.27
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.36
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.31
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.18
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.71
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.27
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.16
