"","komitet","procent"
"1","Liczba wyborców",1288
"2","Liczba kart oddanych",596
"3","Liczba głosów ważnych",517
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.08
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",30.37
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.58
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.19
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.39
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.55
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.35
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.19
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.77
