"","komitet","procent"
"1","Liczba wyborców",2319
"2","Liczba kart oddanych",1557
"3","Liczba głosów ważnych",1264
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.47
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",51.98
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.79
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",15.82
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.98
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.47
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.4
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.55
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.4
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.4
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.47
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.47
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.55
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.24
