"","komitet","procent"
"1","Liczba wyborców",1531
"2","Liczba kart oddanych",756
"3","Liczba głosów ważnych",689
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.26
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.14
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.87
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.93
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",37.01
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.58
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.03
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.16
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.29
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.73
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.48
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.29
"16","KOMITET WYBORCZY LEWICA",0.15
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",7.69
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.31
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",3.19
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.89
