"","komitet","procent"
"1","Liczba wyborców",2042
"2","Liczba kart oddanych",1239
"3","Liczba głosów ważnych",1207
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.64
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.82
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.08
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",55.43
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.58
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.58
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.56
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.08
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.57
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.66
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.41
