"","komitet","procent"
"1","Liczba wyborców",1619
"2","Liczba kart oddanych",778
"3","Liczba głosów ważnych",704
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.6
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.57
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.21
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.57
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.85
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.28
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.12
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.57
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.69
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.71
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.13
