"","komitet","procent"
"1","Liczba wyborców",1659
"2","Liczba kart oddanych",760
"3","Liczba głosów ważnych",633
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.54
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",26.86
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.26
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",24.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.27
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.95
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.32
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.32
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.16
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.11
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.47
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",4.42
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.11
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.32
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.11
