"","komitet","procent"
"1","Liczba wyborców",1169
"2","Liczba kart oddanych",481
"3","Liczba głosów ważnych",448
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.34
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.79
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.67
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",34.15
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.67
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.89
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.45
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.67
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.69
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.45
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.12
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.45
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.67
