"","komitet","procent"
"1","Liczba wyborców",2219
"2","Liczba kart oddanych",967
"3","Liczba głosów ważnych",920
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",36.85
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.74
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",35.76
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.83
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.54
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.54
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.43
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.5
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.74
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.43
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.3
