"","komitet","procent"
"1","Liczba wyborców",2000
"2","Liczba kart oddanych",1238
"3","Liczba głosów ważnych",1221
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.04
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.88
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.08
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",61.02
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.78
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.98
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.08
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.49
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.44
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.16
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.72
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.25
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.08
