"","komitet","procent"
"1","Liczba wyborców",2083
"2","Liczba kart oddanych",1140
"3","Liczba głosów ważnych",1091
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.92
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.46
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.08
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.92
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.18
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.37
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.12
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.37
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.37
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.37
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.37
