"","komitet","procent"
"1","Liczba wyborców",1959
"2","Liczba kart oddanych",1008
"3","Liczba głosów ważnych",949
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.6
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.85
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.32
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.15
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.39
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.05
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.95
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.37
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.32
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.58
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.63
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.79
