"","komitet","procent"
"1","Liczba wyborców",2322
"2","Liczba kart oddanych",1094
"3","Liczba głosów ważnych",1032
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.57
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.83
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.07
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.39
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.19
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.29
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.71
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.78
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.58
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.87
