"","komitet","procent"
"1","Liczba wyborców",1023
"2","Liczba kart oddanych",375
"3","Liczba głosów ważnych",329
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.81
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.12
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.61
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",29.48
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",41.03
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.3
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.22
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.3
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.3
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.04
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"16","KOMITET WYBORCZY LEWICA",0.3
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.82
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.3
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.22
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.82
