"","komitet","procent"
"1","Liczba wyborców",1412
"2","Liczba kart oddanych",790
"3","Liczba głosów ważnych",764
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.75
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.26
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.16
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.05
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.65
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.8
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.05
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.13
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.92
