"","komitet","procent"
"1","Liczba wyborców",1511
"2","Liczba kart oddanych",732
"3","Liczba głosów ważnych",682
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",30.5
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.93
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.59
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.1
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.46
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.29
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.15
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.88
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.49
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.03
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.59
