"","komitet","procent"
"1","Liczba wyborców",759
"2","Liczba kart oddanych",388
"3","Liczba głosów ważnych",311
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",76.21
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.32
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",2.57
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.64
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.32
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.32
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.32
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
