"","komitet","procent"
"1","Liczba wyborców",973
"2","Liczba kart oddanych",438
"3","Liczba głosów ważnych",340
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",55.59
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.65
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.59
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.29
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.76
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.06
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.59
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.47
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.59
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.18
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.59
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.88
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.47
