"","komitet","procent"
"1","Liczba wyborców",494
"2","Liczba kart oddanych",331
"3","Liczba głosów ważnych",227
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",26.87
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.2
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.01
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.23
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.88
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.76
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.32
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.76
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.32
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.52
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.64
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.32
