"","komitet","procent"
"1","Liczba wyborców",484
"2","Liczba kart oddanych",212
"3","Liczba głosów ważnych",161
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.88
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",27.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",16.77
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.84
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.48
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.24
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.62
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.48
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.86
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.48
