"","komitet","procent"
"1","Liczba wyborców",428
"2","Liczba kart oddanych",303
"3","Liczba głosów ważnych",242
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.09
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",33.06
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.83
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.31
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.73
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.83
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",17.77
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.83
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",6.2
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.41
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.24
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.41
"16","KOMITET WYBORCZY LEWICA",1.24
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.24
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.83
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0
