"","komitet","procent"
"1","Liczba wyborców",558
"2","Liczba kart oddanych",260
"3","Liczba głosów ważnych",213
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.74
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",68.08
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",1.41
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",11.74
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.47
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.41
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.94
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.88
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.47
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.47
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.94
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0.47
