"","komitet","procent"
"1","Liczba wyborców",1252
"2","Liczba kart oddanych",726
"3","Liczba głosów ważnych",549
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.94
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",22.59
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",10.02
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32.97
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.73
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",5.46
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.18
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.19
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.09
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.28
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.73
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.73
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.36
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.91
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.91
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.82
